,Train_total_loss,Train_seq_loss,Val_total_loss,Val_seq_loss
148,0.15427216939749755,0.15427216939749755,0.1521881660065396,0.1521881660065396
149,0.15378906550652535,0.15378906550652535,0.15186546240998716,0.15186546240998716
150,0.1536742454448397,0.1536742454448397,0.15159258704558248,0.15159258704558248
151,0.15355348773882926,0.15355348773882926,0.1512428811377018,0.1512428811377018
152,0.15311704132966011,0.15311704132966011,0.15098454267693467,0.15098454267693467
153,0.152760218377327,0.152760218377327,0.15076134295240903,0.15076134295240903
154,0.15247447153125715,0.15247447153125715,0.1505480142230127,0.1505480142230127
155,0.15213527786375625,0.15213527786375625,0.15030104641148825,0.15030104641148825
156,0.15203472505058005,0.15203472505058005,0.1500521827594681,0.1500521827594681
157,0.15191275130319445,0.15191275130319445,0.14978954419571855,0.14978954419571855
158,0.1515574857473539,0.1515574857473539,0.14951169859825125,0.14951169859825125
159,0.1511628163610328,0.1511628163610328,0.14920425325913544,0.14920425325913544
160,0.15095144293920246,0.15095144293920246,0.1488707510897145,0.1488707510897145
161,0.1505719763241364,0.1505719763241364,0.14879960651975613,0.14879960651975613
162,0.15034017292378304,0.15034017292378304,0.14849823044079424,0.14849823044079424
163,0.15017068661948632,0.15017068661948632,0.14824178819578818,0.14824178819578818
164,0.15002898164882805,0.15002898164882805,0.14805108255629523,0.14805108255629523
165,0.15006892271818656,0.15006892271818656,0.14785087300935548,0.14785087300935548
166,0.14943783616659417,0.14943783616659417,0.14761292851546629,0.14761292851546629
167,0.14913889292670274,0.14913889292670274,0.14743425358567633,0.14743425358567633
168,0.14909766253683043,0.14909766253683043,0.1471596041700147,0.1471596041700147
169,0.14889410999385214,0.14889410999385214,0.1469778428235309,0.1469778428235309
170,0.14886450923826597,0.14886450923826597,0.14676025439472037,0.14676025439472037
171,0.1484824041808467,0.1484824041808467,0.14651116599003391,0.14651116599003391
172,0.14815416659858335,0.14815416659858335,0.14636470813691177,0.14636470813691177
173,0.14816339583643695,0.14816339583643695,0.14616936296693675,0.14616936296693675
174,0.1479445803689228,0.1479445803689228,0.1459122930124699,0.1459122930124699
175,0.14757351133197327,0.14757351133197327,0.1457029060232927,0.1457029060232927
176,0.1476757561179158,0.1476757561179158,0.1455204388027051,0.1455204388027051
177,0.14721803939582656,0.14721803939582656,0.14532258354541763,0.14532258354541763
178,0.147083720499627,0.147083720499627,0.14514589451980492,0.14514589451980492
179,0.14677396465834333,0.14677396465834333,0.14499559637319379,0.14499559637319379
180,0.14659698553365236,0.14659698553365236,0.14476347577847062,0.14476347577847062
181,0.14647301407314167,0.14647301407314167,0.14460490656486963,0.14460490656486963
182,0.14638172679578484,0.14638172679578484,0.14441081224808788,0.14441081224808788
183,0.14604030424271577,0.14604030424271577,0.14425375346184277,0.14425375346184277
184,0.1459722763529748,0.1459722763529748,0.14410915276561428,0.14410915276561428
185,0.14584342990951762,0.14584342990951762,0.1438854137691596,0.1438854137691596
186,0.14570122798332202,0.14570122798332202,0.1437248558368913,0.1437248558368913
187,0.14527822965733414,0.14527822965733414,0.14354635770398447,0.14354635770398447
188,0.14542116505553548,0.14542116505553548,0.14339481345754104,0.14339481345754104
189,0.145143020697541,0.145143020697541,0.14321749372034484,0.14321749372034484
190,0.14496594318585,0.14496594318585,0.14302313812507036,0.14302313812507036
191,0.14480622028385282,0.14480622028385282,0.1428696003753266,0.1428696003753266
192,0.14481269973729707,0.14481269973729707,0.14267293655422025,0.14267293655422025
193,0.1443434399929507,0.1443434399929507,0.1425367344526529,0.1425367344526529
194,0.14427930227415808,0.14427930227415808,0.14237099237044235,0.14237099237044235
195,0.1441419715577424,0.1441419715577424,0.14222241802080482,0.14222241802080482
196,0.14397632954600123,0.14397632954600123,0.1420712651448385,0.1420712651448385
197,0.14370983744317684,0.14370983744317684,0.14189295422242795,0.14189295422242795
198,0.1434111127467485,0.1434111127467485,0.14172538392566308,0.14172538392566308
199,0.1435353143678311,0.1435353143678311,0.14155643409096558,0.14155643409096558
200,0.1432373609423596,0.1432373609423596,0.1414446839505703,0.1414446839505703
201,0.14311695762415982,0.14311695762415982,0.14131125260500194,0.14131125260500194
