,Epoch,Train_total_Loss,Val_total_Loss,Train_CTC_Loss,Train_Murmur_Loss,Val_CTC_Loss,Val_Murmur_Loss
0,1,10.315111263378247,10.184622237641932,9.623731471133771,0.6913797074237451,9.494463652271335,0.6901586219415826
1,2,10.225614276303157,10.08693707676257,9.536256347252266,0.6893579317796185,9.39887678825249,0.6880603537721149
2,3,10.116320702099893,9.958051102848376,9.428821882488842,0.6874987504394161,9.272173512992213,0.6858778125148709
3,4,9.963674767531549,9.770356314061052,9.27830929974463,0.6853654860332403,9.086713480545303,0.6836429347426204
4,5,9.726742287334394,9.488913413225594,9.043737207403252,0.6830050969939171,8.807786692603159,0.6811267256736755
5,6,9.368400697345177,9.037144347368661,8.687919075687617,0.6804816125179612,8.358979787664898,0.6781645833435705
6,7,8.846236958006633,8.409310292389433,8.169074185829562,0.677162749360953,7.734926353066655,0.6743840781308836
7,8,8.13172315249309,7.590002787315239,7.458807817954617,0.6729153191195097,6.920523420430846,0.6694794287115841
8,9,7.270450650955259,6.697056826898607,6.602584682113219,0.6678659610832455,6.033702906915697,0.6633538918980098
9,10,6.408468253824242,5.889619691493148,5.7473045502718945,0.6611637288341848,5.233500677852307,0.6561189770698548
10,11,5.679942136565691,5.239393180911824,5.025653566632952,0.6542885674670199,4.591211018319857,0.6481821805743848
11,12,5.09118720700053,4.748235665337514,4.444929770455463,0.6462574383203851,4.108112949435994,0.6401226461943933
12,13,4.639196409813554,4.345212829719156,4.000444332539411,0.638752090621902,3.713272300009,0.6319405870922541
13,14,4.277446263413763,4.039578305260609,3.6469045192973097,0.6305417605874556,3.4159108889304983,0.6236674529010967
14,15,3.9929170916242227,3.7808204957994365,3.3704274892149484,0.6224895852478709,3.1652004007565773,0.6156201000941002
15,16,3.757355888838013,3.570979101374998,3.14168077651401,0.6156751032172811,2.963237904694121,0.6077411837497
16,17,3.562578078468268,3.3982369956323657,2.954405266345698,0.6081728086048112,2.7978529501769502,0.6003840066618839
17,18,3.395786939111784,3.2529127807940466,2.795314665992682,0.6004722822258239,2.6598506507226976,0.5930620704667043
18,19,3.254593835242598,3.1251130888017555,2.6622343140942446,0.5923595106279528,2.5389766499147575,0.5861364518181752
19,20,3.1367449510577496,3.0179050211179055,2.5496203614675204,0.5871245934696271,2.438327550079863,0.5795774114333977
20,21,3.030493217611339,2.923383728932526,2.448885945805646,0.5816072644742891,2.349925816261162,0.5734579464136544
21,22,2.939649957750492,2.8406788470381397,2.3644970279994486,0.5751529279757256,2.272906912787486,0.5677719500105259
22,23,2.8583104745893273,2.768410611556748,2.289040472516682,0.5692700022699027,2.2061584933329437,0.5622520895327552
23,24,2.790088667503984,2.7048602290072683,2.224957991356489,0.5651307048813388,2.1477280600596282,0.5571321430852858
24,25,2.727989822215161,2.648542441351939,2.1669220821803536,0.5610677347746069,2.095895945823799,0.5526464918912467
25,26,2.6710136962476123,2.599901889542402,2.1160866324571503,0.5549270609959804,2.051562501616397,0.548339336201296
26,27,2.6230170796473775,2.555778756384122,2.07121306746557,0.5518040092229448,2.011451901419688,0.54432681758525
27,28,2.5790778708208086,2.516021056094412,2.0315615390455664,0.5475163414079842,1.9754242533344333,0.5405968142768084
28,29,2.5419698113969065,2.480503884816574,1.9955192480176704,0.5464505642340187,1.9432016906091722,0.5373022186554084
29,30,2.5043265405308786,2.449919141349146,1.9629723140040092,0.5413542223187092,1.915815036579714,0.5341040606215849
30,31,2.473471892846597,2.4218194573612535,1.9346668938543674,0.5388049958361096,1.8906305159552623,0.5311889385772963
31,32,2.444223977424003,2.3960487745575985,1.9080974567153477,0.5361265137060137,1.8675178705635718,0.5285308885372291
32,33,2.4192561825795917,2.373287891129316,1.8851439869344662,0.5341122049326668,1.8471080198126324,0.5261798401000136
33,34,2.3958705464450945,2.353507110628031,1.8649233991246295,0.5309471455451473,1.829664040420015,0.523843061216807
34,35,2.374969275301488,2.3348640167107018,1.8453334680395237,0.5296358013113625,1.813048913115162,0.521815096018678
35,36,2.3565169655020832,2.318355599096266,1.8287389583503484,0.5277780059353133,1.7984432705378128,0.5199123375496622
36,37,2.3393329605501263,2.3038747480360127,1.8140868825012981,0.5252460952266698,1.7857271097474179,0.518147647279804
37,38,2.324398115729339,2.290319856546693,1.800880602625149,0.523517522375293,1.7738747855364265,0.5164451213206275
38,39,2.3116220450835274,2.278349603232691,1.7886068452081822,0.5230152035574852,1.7634175001564671,0.514932166317762
39,40,2.297290409722515,2.267815662642657,1.777270702584567,0.5200197015161088,1.7542578200162466,0.5135578156527826
40,41,2.2894707504583867,2.2575349565279685,1.7685334452988362,0.52093732077577,1.745285790653552,0.5122491490032713
41,42,2.2774981072905045,2.2490571515034823,1.759119489412576,0.5183786180423099,1.7379514492164223,0.511105687941535
42,43,2.2684468273556306,2.2410148652933413,1.7498715910803726,0.5185752459079997,1.7310358435420667,0.5099790077088243
43,44,2.260426816924527,2.2342105218919657,1.7430723190833637,0.5173545006520829,1.7252075445854058,0.5090030149888184
44,45,2.253127639621118,2.227553505816702,1.735840176128907,0.5172874429774298,1.7194946648710865,0.5080587917465275
45,46,2.246140275156702,2.2216997873985163,1.730133379616924,0.5160069104655961,1.7145108251248375,0.5071889245914201
46,47,2.2392162924238943,2.2164487281088103,1.7253579677170439,0.5138583054413667,1.710050863330647,0.5063977987079297
