,Epoch,Train Loss,Val Loss,Train Frame Loss,Train Murmur Loss,Val Frame Loss,Val Murmur Loss
0,1,4.610569469717018,4.823139179359048,2.313863753384802,2.2967057454276993,2.4165092731936504,2.4066298781815223
1,2,4.5838279170485015,4.792669928477983,2.2931603126873052,2.2906676023557444,2.3933098507129538,2.3993601471690806
2,3,4.552690353172626,4.756526106090869,2.2691528730082102,2.283537416746126,2.3653343687623236,2.391191639637543
3,4,4.515281703612848,4.710970372466718,2.2393932376063073,2.27588845943129,2.329338534807755,2.3816317500704427
4,5,4.466046080691869,4.651031646688105,2.200050476763831,2.2659955749311833,2.2814194903535356,2.3696121808836015
5,6,4.401953057958747,4.5721930063377,2.1481812651881973,2.253771792639045,2.218255031715005,2.353938026347403
6,7,4.319237137919162,4.4714861956693355,2.08126856461455,2.2379685640992606,2.1388008372258334,2.332685358241453
7,8,4.2172766877220145,4.353454688848076,2.0010236467831186,2.216253049223711,2.0485892475661585,2.304865518262831
8,9,4.102630977070404,4.228228742793455,1.9147926438466265,2.1878383214869555,1.9579722439838667,2.2702565760935767
9,10,3.987510419588883,4.104996473506346,1.832625474971891,2.154884968353646,1.8757758557796478,2.2292206460136477
10,11,3.878529719470025,3.9925741036059494,1.7610337667812384,2.1174959288206274,1.8074764653787774,2.1850975855932395
11,12,3.782318519875284,3.8930789777788064,1.7024756901611364,2.079842822629315,1.7519299035355196,2.141148955337072
12,13,3.695744261581202,3.8063686475915426,1.6552694946511044,2.0404747682122717,1.7071328963768684,2.0992357528815835
13,14,3.6204629265926718,3.730889987743507,1.6163248984575667,2.0041380202119283,1.6703195343583317,2.060570474398338
14,15,3.556857431980371,3.665191769195815,1.5840387582220035,1.9728186579613283,1.6392872145620443,2.0259045146279417
15,16,3.4992064306634734,3.608458517668611,1.5564565257314682,1.9427498999841293,1.6127558798608133,1.99570266907498
16,17,3.452148091674706,3.5572337635492874,1.532627355145014,1.9195207214066157,1.5894723811392057,1.9677613824100817
17,18,3.408925007997924,3.512352992013349,1.5118675948307123,1.8970574354573106,1.5688464944140386,1.9435064538050506
18,19,3.368976152837441,3.471317002328776,1.493250029986561,1.8757261160454959,1.5503921860860566,1.9209247657303083
19,20,3.3325922084130837,3.435102251929752,1.476153298349454,1.8564389267647654,1.5337038923623199,1.901398399775311
20,21,3.301045026656875,3.4017185586993977,1.460955735454228,1.8400892972518776,1.5183778711799847,1.883340654080197
21,22,3.27413006343042,3.3715066434973378,1.446910196075897,1.8272198528725339,1.5044188015541788,1.8670877896628137
22,23,3.249668737011461,3.3439063874341675,1.4340511312717505,1.8156175875262668,1.491572311470064,1.852334205528437
23,24,3.224286367698592,3.3186322772906998,1.4221288560834697,1.8021575128315432,1.4796862406750857,1.838945992821354
24,25,3.202678209730623,3.2953481708542776,1.4113331060184673,1.7913450942109188,1.4687152487241615,1.8266329432443036
25,26,3.1818523675910164,3.273737986108004,1.4010327139153247,1.7808196587386345,1.45856816470623,1.8151697776075137
26,27,3.1669238089397345,3.253636921462366,1.3916770262870746,1.7752467806472083,1.449117361994113,1.804519543809406
27,28,3.1469607860819777,3.2354125651262575,1.382895847282157,1.7640649350848043,1.4403384329908986,1.7950742055804043
28,29,3.1287120332128753,3.2184597776097768,1.3746565251769904,1.7540554988962869,1.4321585777957562,1.7863011786493204
29,30,3.118138526430198,3.202806278103489,1.3672461279406445,1.7508923982758582,1.4245245880494684,1.7782816951052618
30,31,3.1039144478315026,3.188110599477412,1.3599928356439976,1.7439216214750461,1.417435255444656,1.7706753300408185
31,32,3.085656194646123,3.173982625795623,1.3533723065521726,1.7322838867953385,1.4107662369639187,1.7632163837804633
32,33,3.0743541201700904,3.161087924140995,1.347104663455677,1.7272494632239113,1.404524108969559,1.7565638067863756
33,34,3.0662176754681103,3.1487862933490236,1.3412750994738334,1.7249425824215843,1.398687235228086,1.7500990266517058
34,35,3.0563596324307842,3.1375808484473473,1.335880777155965,1.7204788447708566,1.3931891066543127,1.7443917592703286
35,36,3.04550652443475,3.127159439507177,1.3307141169979635,1.7147924148175049,1.3880507819733376,1.739108696074809
36,37,3.037870003219737,3.117034363847668,1.3259018285131166,1.7119681654683938,1.383147989743847,1.7338863915811151
37,38,3.0279213864699424,3.107385212081974,1.3213433153841025,1.7065780604174963,1.3786378203812293,1.7287474057431949
38,39,3.0182971324436716,3.0983189996016227,1.3170508957343146,1.7012462344080193,1.3742881511227558,1.724030860803895
39,40,3.012846160316362,3.0900258056188035,1.3130437667634167,1.6998023990925937,1.370268940521499,1.719756844387216
40,41,3.0059715861848093,3.082430449784812,1.309193469514126,1.6967781026160855,1.3664012767500797,1.7160292078377837
41,42,2.999976307005759,3.074644393638029,1.3055655200607659,1.694410784528588,1.3627488270654518,1.711895536921792
42,43,2.9921522127352427,3.0675135169999073,1.3021523442902225,1.6899998864612065,1.3593150230787567,1.7081985080646256
43,44,2.9878300970519898,3.0607761748766493,1.2989106748851045,1.6889194166601131,1.356036766454325,1.7047394380731098
44,45,2.983217206635136,3.0545864830582827,1.2958745279827633,1.6873426762688444,1.352964765894211,1.7016217591398852
45,46,2.9777102926391565,3.048628000687745,1.2929831478586529,1.6847271495968745,1.3499898979724463,1.6986381413067801
46,47,2.970204353628406,3.042843783002789,1.290255907978462,1.6799484345213327,1.3472514201523893,1.6955923976534504
47,48,2.966613666168314,3.037409272133294,1.287672592636241,1.6789410591487126,1.3445889408810665,1.6928203312522274
48,49,2.9642838457968113,3.0321937085208246,1.2850699159925443,1.6792139239851704,1.342054824000698,1.6901389108370926
