,Epoch,Train Loss,Val Loss,Train Frame Loss,Train Murmur Loss,Val Frame Loss,Val Murmur Loss
0,1,1.3822404068606504,1.3724320262165393,0.6744998389032093,0.7077405669054009,0.6697927373950764,0.7026392758902856
1,2,1.3631646099237862,1.3522466061478955,0.6654768082494573,0.69768780026065,0.660371527631404,0.6918750526541371
2,3,1.342845671951475,1.330030863163835,0.6552918810773408,0.6875537814057735,0.6492251543675439,0.6808056750540006
3,4,1.3206245691422527,1.3060889110726825,0.6432477582638525,0.6773767989443207,0.6357352167873059,0.6703536813541994
4,5,1.292931463267352,1.276096979238219,0.6279942499821973,0.6649372143371948,0.6180406257257623,0.6580563456325208
5,6,1.259919919036596,1.2350969144853494,0.6083909929357572,0.6515289218926785,0.5956308300212279,0.6394660794128806
6,7,1.2204095175827792,1.1886544417526763,0.5832991517845991,0.6371103706967416,0.5667902301933806,0.62186423742165
7,8,1.1682198021336938,1.1337764893547964,0.5512089860156565,0.6170108301561968,0.5302583167108439,0.6035181675927114
8,9,1.1100627651414487,1.0705028788518098,0.5126202451018951,0.5974425182971124,0.4880782888097278,0.5824245602397595
9,10,1.0446360870020468,1.00273959778123,0.4691332312197036,0.5755028585932627,0.4424217276654001,0.5603178636502412
10,11,0.9825339219021784,0.944949481042765,0.4241889701057914,0.558344950744347,0.3984166776729842,0.5465328058954012
11,12,0.9239014442362841,0.8821506813421087,0.38251447708844744,0.5413869669670173,0.35857047408314074,0.5235802007933794
12,13,0.8775800932065203,0.8448214163214474,0.34715197833282674,0.5304281132956334,0.32647842168807983,0.5183429985733355
13,14,0.843120387720917,0.8100568730952376,0.31836647255540357,0.5247539177956136,0.300701406951678,0.509355459677971
14,15,0.8089730072534353,0.7839555546388788,0.29510104570741225,0.5138719615460231,0.27960914322885416,0.5043464218155812
15,16,0.7897356674938129,0.7641598774214923,0.2761083053115712,0.5136273662095825,0.26240293282573507,0.5017569406557891
16,17,0.7725805841752067,0.7461296570503105,0.2602063417927836,0.512374235198962,0.24770471054618642,0.4984249484741082
17,18,0.7540774674160469,0.7320174629405394,0.2465689619124692,0.5075085024378672,0.23499340081619005,0.49702406606431737
18,19,0.7409321561874899,0.7228084796566074,0.23469445103614026,0.5062377020856391,0.2242318938344212,0.4985765858221862
19,20,0.7313554564761116,0.7092484746949147,0.22428278003650282,0.5070726791601187,0.21445828484276594,0.4947901963177374
20,21,0.7200386386448944,0.7009913610199751,0.214999791047748,0.5050388452300563,0.20564323471764387,0.49534811266398027
21,22,0.7118744339590499,0.6929409006894645,0.20642559652787443,0.5054488383106152,0.19757659137248992,0.49536429512298713
22,23,0.7020040586451043,0.6861313377396535,0.19870878893304647,0.5032952699750678,0.1902562225774183,0.4958751099594569
23,24,0.6971415095873715,0.6787804417690988,0.19157899889871027,0.5055625119133017,0.18349445532944242,0.4952859864396564
24,25,0.6877999562817387,0.6720230288424734,0.18504455096308722,0.5027554025159511,0.1772845217737101,0.4947384980775542
25,26,0.6857036581633832,0.6665985258959107,0.1788789472787734,0.5068247108846098,0.1714176888688136,0.4951808479882903
26,27,0.6809100747042707,0.6596657938876395,0.17309654419815348,0.5078135323471873,0.16593929029117196,0.49372650556645153
27,28,0.6746513820523,0.6562545659178395,0.1676679702832169,0.506983413955354,0.1607175877538778,0.4955369788711354
28,29,0.6682371905806047,0.6520037251003717,0.16257995969507488,0.5056572292170601,0.1559200196448019,0.4960837171239368
29,30,0.6647683947505835,0.6471278738167326,0.15778815567953705,0.5069802386354361,0.15136100079043438,0.49576687105631423
30,31,0.6610030887933048,0.6414345971608566,0.15327650551893274,0.5077265834551915,0.1470609225964142,0.494373679060047
31,32,0.6569186622637514,0.6385656106269966,0.14898122348183107,0.507937440442171,0.14298781792996293,0.49557778299865074
32,33,0.6503014600678038,0.6331379540896012,0.14493479019557975,0.5053666682119733,0.13911041036500768,0.49402754175460944
33,34,0.6460710681411882,0.6293174280958661,0.1410772143578043,0.504993855361444,0.13540658349707976,0.49391084909439087
34,35,0.6393618628390901,0.6270779864262727,0.13740468398352979,0.5019571745652095,0.13190138749146865,0.495176600904788
35,36,0.6400373907327257,0.6227221383886822,0.133875124604414,0.5061622642872416,0.12860886878886466,0.4941132703069913
36,37,0.6375192034264263,0.620580769191354,0.13059289062213844,0.5069263101741877,0.12543307790311717,0.4951476925510471
37,38,0.6328912415000791,0.6170734197406446,0.12739842922991307,0.5054928125331761,0.122309526270729,0.49476389965768586
38,39,0.6271832384132116,0.6140052546889095,0.12430857020849953,0.5028746639965518,0.11934688460018675,0.4946583769078982
39,40,0.6280284156900575,0.6117290193751707,0.12140380388143243,0.5066246105798752,0.11656427916328786,0.49516474372249536
40,41,0.6254014420167425,0.6091698197995202,0.11854612814150525,0.5068553165053374,0.11379174981581963,0.49537808228347263
41,42,0.6221501227248393,0.6065335641473026,0.11579911589573183,0.506351006701712,0.11119782864037206,0.4953357419725192
42,43,0.6169905081284487,0.6039758421606937,0.11330048568131709,0.5036900207868809,0.10880732937889584,0.4951684968956446
43,44,0.6151750956328613,0.599368149345204,0.11073906352703439,0.5044360317976121,0.10632576404486672,0.4930423798197407
44,45,0.6102829847754001,0.5979347342151706,0.10829974257659991,0.5019832451371152,0.10409085301019377,0.49384387923499284
45,46,0.6095704703914876,0.5971706838931068,0.1060580529284885,0.5035124144794793,0.10180552725569676,0.49536514342841453
46,47,0.6119335652449746,0.5927583177210921,0.10374978991811998,0.5081837767734096,0.09960305832200131,0.49315525778269365
