,Epoch,Train_total_Loss,Val_total_Loss,Train_CTC_Loss,Train_Murmur_Loss,Val_CTC_Loss,Val_Murmur_Loss
0,1,21.19442201331381,20.032624325509797,20.514261236259177,0.6801608529001458,19.353431662866626,0.679192434933226
1,2,21.098836634741655,19.93604301840572,20.419647902726997,0.6791887203107141,19.257832789016984,0.6782105286242598
2,3,20.98922887824217,19.817418315046925,20.311120107432984,0.6781088176907194,19.140190357272907,0.6772277498649338
3,4,20.84092682524406,19.640998594639665,20.163799524701766,0.6771273802343285,18.96479778613074,0.6762010788513442
4,5,20.59606035572353,19.327392959594725,19.919941866917302,0.6761185890130423,18.652229593567927,0.6751636258626388
5,6,20.16810386245315,18.774542882886983,19.492982562444386,0.6751212402726167,18.100500688714497,0.6740421149690272
6,7,19.46879128573418,17.95659531415519,18.79475130879675,0.6740399983727465,17.2837345705194,0.6728605007721206
7,8,18.474206951265497,16.85008750527592,17.80143523650214,0.6727717403082051,16.178617438623462,0.6714703804355556
8,9,17.17404607561367,15.476897191193144,16.502812926307673,0.6712331952012447,14.807196284148652,0.6697009446257252
9,10,15.554359793202757,13.806015008182849,14.884991468018217,0.6693683936000199,13.138736850932492,0.6672778913530253
10,11,13.732373255494544,12.094073072530456,13.06590867976227,0.6664645470313058,11.430238840135477,0.6638341030832065
11,12,12.109975072605073,10.745753220380363,11.447409833391529,0.6625652290219045,10.08626391200696,0.6594893714128914
12,13,10.851074475973796,9.696069481413243,10.192852545231663,0.6582219496788534,9.041681043980486,0.6543883907592902
13,14,9.874264576391692,8.881511920993612,9.221297808792864,0.6529667651659865,8.232762081340208,0.648749828338623
14,15,9.0995241713274,8.206951280367576,8.452149096077079,0.6473751128278775,7.564188178110931,0.6427630634631141
15,16,8.450625445917701,7.639455969858978,7.809108113427222,0.641517293203357,7.002928442874198,0.6365275522409859
16,17,7.896876202586995,7.182259527303405,7.262116306471154,0.6347599073595194,6.5522486993822,0.630011008957685
17,18,7.427066936324594,6.767472624374649,6.79813508913784,0.6289318608303985,6.1439262778072035,0.6235463257563316
18,19,7.0120086091299845,6.408112414408539,6.388958809984631,0.6230497465433499,5.7910205905720336,0.6170917929229089
19,20,6.6481868133187225,6.079938453738972,6.031700542600393,0.6164862468501711,5.469366758960788,0.6105717751939418
