,Epoch,Train_loss,Val_loss,Train_Frame_loss,Train_Murmur_loss,Val_seq_loss,Val_Murmur_loss
0,1,1.421663762190956,1.4180956897089037,0.689484767537714,0.7321789887026404,0.6858927953041206,0.732202894404783
1,2,1.4129194189551386,1.4086027218123613,0.6823169892490469,0.7306024360183321,0.678118787175518,0.7304839346368434
2,3,1.4027867999710697,1.397016672360695,0.673777510136185,0.729009279314484,0.6681778053105888,0.7288388619988652
3,4,1.3900178422338714,1.381957104246495,0.6626208860836039,0.727396948785987,0.6549185001243979,0.7270386221045154
4,5,1.372899002615944,1.361590956833403,0.6473868842356387,0.7255121169666263,0.636672736022432,0.7249182157597299
5,6,1.3497922517815415,1.334547691830134,0.6266828518313594,0.7231094080048639,0.6125710620718487,0.7219766297582852
6,7,1.320018551721799,1.3014010110143888,0.6002672030593043,0.7197513461967758,0.5831696657811181,0.7182313452332707
7,8,1.285323782777234,1.2630744049104594,0.5692069539363649,0.7161168341010694,0.549684643341323,0.7133897615691362
8,9,1.2459035853424325,1.2207783105009693,0.5350630132124954,0.7108405752860573,0.5133704434006902,0.7074078671002793
9,10,1.2029525092209628,1.1778732905953617,0.4988365644127772,0.7041159407644066,0.4781109094619751,0.6997623825477342
10,11,1.1606007867009351,1.1361776347887718,0.464952582097882,0.6956482024989731,0.4454231980493513,0.6907544586618067
11,12,1.121026397408929,1.0977690272412057,0.43496075964605224,0.6860656393409367,0.41775814385737403,0.6800108729782751
12,13,1.0855332248722462,1.0638737815921588,0.40944689610881563,0.6760863245552703,0.39453429317070265,0.669339471550311
13,14,1.0537157528846224,1.0331200931031825,0.3878898172502155,0.6658259298481864,0.3747274692785942,0.6583926083677906
14,15,1.025128359039778,1.006217838545977,0.3696282255472035,0.6555001319145144,0.35777193247261696,0.6484459190045373
15,16,0.9992515981624749,0.9809487449920784,0.35355686745259624,0.6456947329947782,0.34268901428933873,0.6382597436339168
16,17,0.974913985243964,0.9583174883309057,0.3393921378529407,0.635521848262244,0.3294447650343685,0.6288727297621258
17,18,0.9542755390883676,0.938270225767362,0.32672892572533935,0.6275466093356874,0.31748063695632806,0.6207895862854134
18,19,0.9355389450507735,0.9194737743523161,0.31520646570534977,0.6203324861836841,0.30650920322385883,0.6129645775940459
19,20,0.9174914273253082,0.902499387627941,0.3046288693963791,0.6128625560056683,0.29640764745615295,0.6060917337061995
20,21,0.901031236949706,0.8866205938791825,0.2948503771738262,0.6061808587238398,0.28701295125282417,0.5996076555575355
21,22,0.8876439536794798,0.8720157730377327,0.28582513851811725,0.6018188146353426,0.27832832397040674,0.5936874555329145
22,23,0.8720905002940116,0.858778110197035,0.277299025705751,0.5947914772183607,0.2701487800832522,0.5886293197082261
23,24,0.8601082124173542,0.846183336589296,0.2692906678018817,0.5908175440894525,0.26244857513298425,0.5837347614563118
24,25,0.8469921491847009,0.8341539568820242,0.2617698761059708,0.5852222723718907,0.2551676141003431,0.5789863531872378
25,26,0.8344370736578717,0.8230079925666421,0.25462278942343813,0.5798142837084135,0.24826475892026545,0.5747432349091869
26,27,0.8245539300624534,0.8122328669337903,0.24782668742039424,0.5767272447461392,0.24167181607020102,0.5705610501564156
27,28,0.8126887848412734,0.8019937505156307,0.24138155909973288,0.5713072262675606,0.23539415057432853,0.5665995947385238
28,29,0.8055641087654606,0.7928098015866037,0.23515789530517905,0.5704062097781414,0.22938440401675336,0.5634254176737898
29,30,0.79502236774069,0.7834150007215597,0.2292351359023748,0.5657872324547449,0.2236168566396681,0.5597981473146859
30,31,0.7871325619300952,0.7748600495063652,0.22354597763928405,0.5635865787676008,0.21807395482467393,0.5567860946816913
31,32,0.7801337775379271,0.7664769526255333,0.21806070778952472,0.5620730681703423,0.2127450269662728,0.5537319340948331
32,33,0.7701574200039993,0.7586011268324772,0.21278550003650631,0.5573719222441735,0.2076303879083213,0.5509707460969181
33,34,0.7619907831001598,0.7508683034929179,0.20773952328987827,0.5542512620047713,0.20268753585168872,0.5481807676412291
34,35,0.7554775819026234,0.7436144275180364,0.20279937010244053,0.552678207764623,0.19792950128094625,0.5456849346726628
35,36,0.7481104360715631,0.7364559321080224,0.19809228266495338,0.5500181537600295,0.19333606316881666,0.5431198540380445
36,37,0.7410088646694631,0.7295622259883557,0.19358997019824573,0.5474188943890268,0.18890129883410567,0.5406609246286295
37,38,0.7350488838015902,0.72310757030875,0.18916433423313725,0.5458845513273325,0.1846258380655515,0.5384817283032304
38,39,0.7274929643071822,0.7169887829635103,0.1849317048967575,0.5425612559912946,0.18048849267474676,0.5365002831160012
39,40,0.7239649927359685,0.7108756679599568,0.18084256304967358,0.5431224263575744,0.17649014127456536,0.5343855338581538
40,41,0.717024883018037,0.7051858807014206,0.1768422057812081,0.5401826821436095,0.1726250717195414,0.532560805749085
41,42,0.710433186218348,0.6995610012846478,0.17300324038419024,0.5374299465327781,0.1688861278154082,0.530674867003651
42,43,0.7053100834613469,0.6942499047618801,0.16929773691275207,0.536012348915685,0.16526412448640598,0.5289857763355061
43,44,0.7004143957334267,0.6890738398341809,0.165733382196237,0.5346810119591295,0.16175764799118042,0.527316175679029
44,45,0.6952927308193044,0.6840423319299342,0.16220072258656287,0.5330920098108017,0.15836229708235142,0.5256800380803771
45,46,0.6917764468542857,0.6793650364471694,0.1588555320201496,0.5329209162395959,0.15506416008634083,0.5243008750980184
46,47,0.6870115694589399,0.6748693787445457,0.15560434812908994,0.5314072228175004,0.1518688039254334,0.5230005748191122
