,Epoch,Train_total_Loss,Val_total_Loss,Train_CTC_Loss,Train_Murmur_Loss,Val_CTC_Loss,Val_Murmur_Loss
0,1,8.876578917505986,7.939129991046453,8.192088163431613,0.6844907242884901,7.255496820352845,0.6836331971621109
1,2,8.801652536955054,7.866469221600031,8.119148270964162,0.6825042701661751,7.184918086811647,0.6815512101529009
2,3,8.706970261659533,7.774369915461136,8.026336190980636,0.6806340605530105,7.095127846022784,0.6792420171074948
3,4,8.580838222366896,7.644266749236543,7.902530084705721,0.6783081488719778,6.967668475134898,0.676598342192375
4,5,8.399316604138736,7.454820380776615,7.723875127309472,0.6754414823853503,6.781369564896923,0.6734507298065444
5,6,8.138890103615257,7.1954852831565725,7.466750056850141,0.6721400176367573,6.525891074487719,0.6695941743204149
6,7,7.793854572992593,6.832376512430482,7.125650369062387,0.6682041804236861,6.167604672706734,0.6647719803503004
7,8,7.347266075167942,6.412473099918689,6.684126779511037,0.6631392893775419,5.753488395173671,0.6589847261622801
8,9,6.845568347095589,5.946212429111287,6.188546627579114,0.6570217285903198,5.294021753537453,0.6521906282942174
9,10,6.329105068949527,5.504669642044326,5.679083457127238,0.6500215897294479,4.859910260216664,0.6447593452566761
10,11,5.854882154291135,5.09008334208343,5.212089291870824,0.6427928424315498,4.453304947028726,0.6367784805217032
11,12,5.433615090632662,4.742235626608639,4.7983318613960275,0.6352832341351958,4.113482583579371,0.6287530143382185
12,13,5.066736966815365,4.448383177741099,4.439105661416409,0.6276313302862795,3.8272545200283243,0.6211287144887245
13,14,4.751638272554258,4.190804736897097,4.130960868723933,0.6206774125754078,3.5772593174950553,0.61354544304185
14,15,4.486043358795957,3.9655813588934428,3.8732061163864935,0.6128372560859844,3.3592859720779678,0.606295366004362
15,16,4.251153014735891,3.7740909156152758,3.646021232510297,0.6051317969541555,3.174734115600586,0.5993568466881575
16,17,4.047120964599458,3.6117705054202323,3.4465174442223927,0.600603516859306,3.018843658899857,0.5929268178293261
17,18,3.8718314752089538,3.46543552754289,3.2787255623428715,0.5931059167454799,2.8785977775767697,0.586837726326312
18,19,3.7177518449037428,3.3420922327849825,3.12978272561664,0.5879691385525863,2.7610997256586107,0.5809924317618548
19,20,3.580867394122772,3.230850025758905,2.9977749939196294,0.5830924019455844,2.6553560588319423,0.5754939303559772
20,21,3.4619673291294206,3.1306578749317233,2.88494264836214,0.5770246905972796,2.5604672706733314,0.5701906329494412
21,22,3.3502310820199215,3.0474306203551214,2.777858674822101,0.5723723974006977,2.4820851301742812,0.5653454564385495
22,23,3.2553377958930008,2.9662706649909585,2.687601918879623,0.5677358808927752,2.4053966053461626,0.5608740351967892
23,24,3.169023322717169,2.898412392503124,2.605843508565748,0.5631797982064387,2.3417905306412004,0.5566218475163993
24,25,3.0911277634493897,2.838115668700913,2.53115185163196,0.559975900771009,2.2854870206218654,0.5526286014055801
25,26,3.0195657479717006,2.782772950802819,2.4641059077515894,0.5554598393653285,2.233870916851496,0.5489020648649183
26,27,2.9610161789201337,2.73360855700606,2.4079300455144934,0.5530861409671781,2.188152860382856,0.5454557533991539
27,28,2.9063066303960143,2.687784117359226,2.355552803727059,0.550753796850195,2.145577931808213,0.5422062164646084
28,29,2.8530055035298134,2.648277938972085,2.307122755629281,0.5458827314295298,2.1091639736951406,0.5391139301203065
29,30,2.805491163397914,2.612444298146135,2.2626467158764156,0.5428444538337384,2.076127385284941,0.5363169153868141
30,31,2.7665015003395816,2.580789740610931,2.223750024557245,0.5427514797932392,2.0470659878294346,0.5337237280304149
31,32,2.725184589739472,2.5508553092762574,2.187012933132994,0.5381716639707579,2.019568073951592,0.5312872353246656
32,33,2.690368178399702,2.524959394487284,2.154589990259729,0.5357782026712762,1.9960263244176315,0.5289331142174996
33,34,2.659457273004598,2.500405945212154,2.1261185666703417,0.533338699857635,1.973641671164561,0.5267643024355678
34,35,2.6334579831253278,2.4790088596990554,2.1015922324932284,0.5318657394212974,1.9542762271428513,0.524732623564995
35,36,2.605754466459229,2.459862168360565,2.0761945552741765,0.5295599045440497,1.9368954464540644,0.5229667089753232
36,37,2.5808278805500753,2.441649689916837,2.0525023641339075,0.5283254953753665,1.920506795786195,0.5211429135274079
37,38,2.5606970400423616,2.42555384797565,2.0348207681006776,0.5258762666650457,1.9060197070493536,0.5195341721429663
38,39,2.53922852875446,2.411496618238546,2.012602725084224,0.5266258057907545,1.8935211820117497,0.5179754024845059
39,40,2.5198691358108647,2.3982079861527783,1.996101663971368,0.5237674669080588,1.8815940679129908,0.5166139556189715
40,41,2.504879133515902,2.3854304224757823,1.9815657528736812,0.5233133740012185,1.8701676182827707,0.5152627406483989
41,42,2.4916661406378684,2.375251579284668,1.9696657664198542,0.5220003673633159,1.861180635225975,0.514070906679509
42,43,2.4750677360991253,2.364575305227506,1.9531806110349468,0.5218871126205173,1.85161452859135,0.5129607299626884
43,44,2.461127167568638,2.35559783870891,1.9421734411415315,0.5189537317201832,1.8437466637562898,0.5118511088823868
44,45,2.451704247249008,2.346748086153451,1.9313037386271945,0.5204005015862955,1.8359137252225715,0.5108343465853545
45,46,2.439600233208456,2.339611704066648,1.9215393870559372,0.5180608408923183,1.8297128774351994,0.5098988409769737
46,47,2.428381654352229,2.3325426570439745,1.9110073298298056,0.517374329420985,1.823472842523607,0.509069773201215
47,48,2.419526517424081,2.325905755414801,1.903667657597579,0.5158588636730234,1.8176795442225568,0.5082261892698579
48,49,2.4107079282361896,2.3199462357213942,1.8956203870988984,0.5150875269347505,1.812487361390712,0.5074588836249658
