,Train_loss,Train_seq_loss,Train_Murmur_loss,Train_cons_seq_loss,Train_cons_murmur_loss,val_loss_stu,val_loss_tch,val_seq_loss_stu,Val_Murmur_loss_stu,Val_Murmur_loss_tch
302,0.8121951914752492,0.2231435626745224,0.5832033617929979,5.628947885838011e-07,0.012129192932059453,0.8433463898755736,0.8468530555902901,131.65470197796822,0.6202028201798261,0.6237094780146065
303,0.8068222960960479,0.2231435626745224,0.5778396237980236,5.67628463093983e-07,0.01207824437598369,0.8451710226172108,0.8439258981559237,131.65470197796822,0.6220274450415272,0.6207823205802401
304,0.8160518715253566,0.2231435633518479,0.5854281322522596,5.471470297563548e-07,0.01377845365155447,0.8480365745091842,0.8488525530039254,131.65470197796822,0.6248929969335006,0.6257089754282418
305,0.8055623787844362,0.2231435626745224,0.5763131542639299,5.477617860874766e-07,0.01233293227935397,0.8428012065968271,0.8447481189743947,131.65470197796822,0.6196576369010796,0.6216045413987111
306,0.8051205656478619,0.2231435626745224,0.5739540159702301,5.471030398487428e-07,0.014231884059721131,0.8419460094581216,0.8419392381684255,131.65470197796822,0.6188024397623741,0.6187956605927419
307,0.8101883534282482,0.2231435633518479,0.5793596831235018,5.553140423375828e-07,0.013936115654094534,0.8467483506364337,0.846390567795705,131.65470197796822,0.6236047809406863,0.6232469902200214
308,0.810613513188364,0.2231435626745224,0.5797310119325464,5.506082117802289e-07,0.013992830926904476,0.8433656411655879,0.8430601976685604,131.65470197796822,0.6202220714698403,0.6199166200928768
309,0.8071555249169988,0.2231435626745224,0.5767386013811285,5.546736365498692e-07,0.013503942179656654,0.8397238406084352,0.8419331122252901,131.65470197796822,0.6165802709126876,0.6187895346496065
310,0.8145371051341014,0.2231435626745224,0.5844862704927271,5.348807123061775e-07,0.013198227342485453,0.8420313097662845,0.8417822336746474,131.65470197796822,0.6188877321906009,0.6186386560989638
311,0.8102585234178682,0.2231435626745224,0.579956057396802,5.143884782528452e-07,0.013414578384010702,0.8378957503933018,0.8356074464523187,131.65470197796822,0.6147521728176182,0.6124638688766351
312,0.8119229739589151,0.2231435626745224,0.5821536996147849,5.067674747935472e-07,0.012898511551519113,0.8414043186074597,0.8420828419216608,131.65470197796822,0.6182607489117121,0.6189392643459772
313,0.8023818957116478,0.2231435626745224,0.5720274394208734,4.983330169563637e-07,0.013404838313539896,0.8393479500786732,0.8386026487512104,131.65470197796822,0.6162043725029897,0.6154590790554628
314,0.8079667795677076,0.2231435626745224,0.5774122693321921,4.919654310426667e-07,0.01364684501810243,0.8439989102088798,0.8448917520248284,131.65470197796822,0.6208553326331963,0.6217481744491448
315,0.8061631987357833,0.2231435626745224,0.5755172046748075,4.840670212116124e-07,0.01372357246371665,0.8445907524076559,0.844615568548946,131.65470197796822,0.6214471748319723,0.6214719909732624
316,0.8185544613689221,0.2231435626745224,0.5890609242699363,4.5988749383033733e-07,0.012676637295546493,0.8445243894043616,0.8454069697250755,131.65470197796822,0.621380819708614,0.6222633921493919
317,0.8185467973210959,0.2231435626745224,0.5891978225924752,4.4025369620040366e-07,0.012533153092634511,0.8417044811329599,0.8425436318930933,131.65470197796822,0.6185609114372124,0.6194000543174097
318,0.8112089244886322,0.2231435626745224,0.5829820551655509,4.4355998037400276e-07,0.011362615852857673,0.8372914288003566,0.8392167594473241,131.65470197796822,0.6141478591046091,0.6160731818716405
319,0.8024621437494263,0.2231435633518479,0.5746907375075601,4.4665739260093956e-07,0.01084257233788631,0.8438539638357647,0.8426580845299414,131.65470197796822,0.6207103862600811,0.6195145069542578
320,0.812522452500278,0.22314356131987137,0.5836590365930037,4.30842420917102e-07,0.012004472612769523,0.8438320753938061,0.8457993491221283,131.65470197796822,0.6206884978181225,0.6226557715464447
321,0.8139461589279894,0.22314356402917343,0.5852955200455405,4.244283429598976e-07,0.011804451314062674,0.8464962514780335,0.8457878767433813,131.65470197796822,0.6233526817822861,0.6226442991676977
322,0.8072771980607055,0.2231435619971969,0.5781793431802229,4.321252449686335e-07,0.012196236843332594,0.8430159308142581,0.8430268004789191,131.65470197796822,0.6198723532385745,0.6198832229032355
323,0.8104208313377728,0.2231435626745224,0.5805114588954232,4.216688728986703e-07,0.013025916874937198,0.8449830291634899,0.8449145353446572,131.65470197796822,0.6218394515878063,0.6217709577689736
324,0.8156761315671476,0.22314356131987137,0.5866839425130324,4.0253246322435074e-07,0.012156828609228367,0.8439202559196343,0.8468706706822928,131.65470197796822,0.6207766783439507,0.6237270931066092
325,0.8071662266267133,0.2231435626745224,0.5797324018044905,4.084281593828596e-07,0.01054430621981242,0.8433650586564662,0.8424139140015942,131.65470197796822,0.6202214810807826,0.6192703364259106
326,0.8142970088760889,0.2231435626745224,0.5847005518999967,3.9449578474843693e-07,0.012745642456080567,0.8453317539166596,0.8460321373858695,131.65470197796822,0.622188184220912,0.6228885598101859
327,0.8078611415152962,0.2231435626745224,0.5785491466522217,4.003164283665708e-07,0.012413261068031015,0.8439966585676549,0.8438193519236677,131.65470197796822,0.6208530888719074,0.6206757743479842
328,0.8136900410196634,0.2231435626745224,0.5849627229300413,3.912090485115207e-07,0.011878546595408468,0.8419007206367234,0.8431970699358795,131.65470197796822,0.6187571509409759,0.6200534923601959
329,0.8051308856336931,0.2231435626745224,0.5751672495495189,3.994668186377294e-07,0.013038555430130008,0.848011961225736,0.8493708159963963,131.65470197796822,0.6248683915299884,0.6262272463006489
330,0.8143071890757093,0.2231435626745224,0.5837737592783842,3.8420679428975556e-07,0.01367540086698598,0.8431322974673773,0.8431622145539623,131.65470197796822,0.6199887198916937,0.6200186369782787
331,0.8094900514122501,0.2231435626745224,0.5798589424653486,3.6996981152853736e-07,0.0127426182561756,0.8434574563624495,0.8436320278604151,131.65470197796822,0.6203138866667021,0.6204884581646677
332,0.8059857750877389,0.22314356131987137,0.5774605490944602,3.6524451635357503e-07,0.01161806851659045,0.8458519697189331,0.8464311908867399,131.65470197796822,0.6227083921432495,0.6232876133110563
333,0.8134445065404119,0.22314356131987137,0.5839689509435133,3.566431947652028e-07,0.012619101240781914,0.8418673765861382,0.8422578183271117,131.65470197796822,0.6187237990104546,0.6191142407514281
334,0.810362320055772,0.2231435626745224,0.5820071805607189,3.558897724213283e-07,0.011483393113123876,0.8491630869396662,0.8498887918763242,131.65470197796822,0.6260195093639827,0.6267452221805766
