,Train_total_loss,Train_seq_loss,Train_murmur_loss,Val_total_loss,Val_seq_loss,Val_murmur_loss
0,0.762756831064818,0.2264576105779321,0.5362992205211209,0.6978700813810328,0.22632387645615198,0.4715462057205745
1,0.7266155091370144,0.22621245123188682,0.5004030577417524,0.6895761806430285,0.22615364294589832,0.46342253797717586
2,0.7217728475836808,0.22610315040892123,0.4956696975671634,0.6852833412518963,0.22605104936814718,0.4592322923800343
3,0.7195337640441964,0.2259869632961321,0.4935468009302905,0.6838268407440092,0.22590674436010144,0.45792009635336917
4,0.7179060174709849,0.22587815380759818,0.49202786326838277,0.6817850458473003,0.22579970735762647,0.455985338556209
5,0.7161372995382134,0.22579072089468336,0.49034657845653695,0.6790363254612781,0.2257033383182386,0.45333298803853606
6,0.7142317949580629,0.22571123366699392,0.4885205614492439,0.6767266570736331,0.22562254698943515,0.4511041106192088
7,0.7126613796408194,0.22564589931502016,0.4870154803257993,0.6746457075392163,0.22555615424086364,0.44908955311538074
8,0.7108502636079438,0.2255927098852442,0.48525755377448565,0.6722954472334693,0.2255074648439629,0.4467879834374362
9,0.7081569703661065,0.22555458447269677,0.4826023859085772,0.6662198486677601,0.22547605342981925,0.44074379595046553
10,0.7044012983665459,0.22552965748649148,0.47887164102587865,0.6594935912596571,0.22545019497438776,0.43404339640170597
11,0.7009285088280275,0.22550674041517307,0.4754217686650676,0.6572097339079714,0.22543045980708246,0.43177927404825855
12,0.6983517624754267,0.22548867400388228,0.472863088232332,0.6544651298945988,0.22540945724044384,0.4290556723907431
13,0.6959983895807521,0.22546857149628788,0.470529818469501,0.6526556275271336,0.22538802232856936,0.42726760368488786
14,0.69418306197456,0.22544731370916965,0.4687357478443851,0.6525619355860237,0.22536598712381842,0.4271959482099692
15,0.6930388303746091,0.22543031509648603,0.4676085155171189,0.6496099311525512,0.22534762884423584,0.4242623022611429
16,0.6914775192644841,0.2254141855776536,0.46606333367642994,0.64888761720794,0.22533452813685967,0.42355308913488654
17,0.6905759039989632,0.22539872288681384,0.46517718116111856,0.6487311088324219,0.22531992903726591,0.4234111803773392
18,0.6897283760080702,0.22538688053699404,0.4643414952712991,0.647701844312208,0.22530773548503866,0.4223941082283524
19,0.6888715025868,0.22537452187085516,0.46349698109036436,0.647551379754469,0.22529327319369105,0.4222581068435526
20,0.688387277472269,0.2253621192598223,0.4630251585456974,0.6466095288027282,0.2252826420128872,0.42132688647652766
21,0.6875123222477711,0.2253519081614893,0.46216041426005755,0.6465276024323847,0.22527509224828385,0.4212525100150339
22,0.6870188629895388,0.22534169195778986,0.4616771713021631,0.6458946929453111,0.22526545465227477,0.4206292388086843
23,0.6863802913201782,0.22533361014245828,0.4610466809959271,0.6462988971258323,0.22525910777954564,0.4210397890275153
24,0.6857692889333044,0.22532572130443373,0.46044356799548974,0.6453491124224949,0.2252509777940015,0.4200981339465074
25,0.6853506686000306,0.22531799973877437,0.460032668328445,0.6457146112316731,0.22524571103083757,0.420468900497515
26,0.68460293695164,0.22531167640628796,0.45929126038956053,0.6456424937475946,0.22523869279820546,0.4204038000871603
27,0.6843124759789893,0.22530459597494668,0.45900788019926947,0.6466148247009129,0.2252343053292152,0.42138051980417673
28,0.6837007586743957,0.2252980727539925,0.4584026859019856,0.6445155461025044,0.22522974714487487,0.41928579955644646
29,0.6833091497818219,0.22529184191266757,0.4580173080409799,0.643269698346653,0.22522438024282007,0.41804531723887506
30,0.6829503503136771,0.22528745282613474,0.457662897294699,0.6432239963515514,0.2252192276016001,0.41800476933213443
31,0.6826731141271113,0.22528292133406813,0.45739019250681157,0.6435405304224887,0.22521588433108738,0.41832464636027117
32,0.6820347019570101,0.22527678130031684,0.4567579209247239,0.6425007508410311,0.22521074577532235,0.41729000568115954
33,0.6814696784124932,0.22527278585374919,0.45619689243112066,0.6421998856549872,0.2252066839953439,0.4169932017095447
34,0.6814857373881265,0.22526843656337708,0.45621730091857093,0.6423599365675162,0.22520258317595274,0.41715735387394387
35,0.6810692902890317,0.22526489666232286,0.45580439350211904,0.6421012995325036,0.22520012018087826,0.4169011813975834
36,0.6807587510509355,0.22526131920707493,0.4554974317734402,0.6442505559191394,0.22519707992529064,0.41905347624335587
37,0.6804567039072712,0.22525744307380227,0.45519926039382935,0.6413746390553483,0.22519442110652582,0.41618021799872396
38,0.6802077777714611,0.22525332953882024,0.4549544480298303,0.6409706907391499,0.22519053265444458,0.4157801585005505
39,0.6799727111946052,0.2252506629577045,0.4547220485643012,0.6428415981802575,0.22518965850297593,0.41765194025946484
40,0.6795758061219638,0.2252458815520754,0.45432992480411727,0.6417221453359577,0.2251840400069382,0.41653810572823086
41,0.6794564379892545,0.22524307134574553,0.4542133671325511,0.6411675276499669,0.22518105904099264,0.4159864679768896
42,0.67889146193535,0.22523895349713832,0.4536525085448172,0.6415794801811631,0.22517776487724384,0.41640171500723977
43,0.6785637258181536,0.2252366597336675,0.4533270659228444,0.6411865988252355,0.2251759102200901,0.4160106882419307
44,0.6782206526582099,0.22523207707547993,0.4529885757075364,0.6411809945812508,0.22517070249069351,0.41601029187431776
45,0.6779848471461806,0.2252291467539299,0.4527557001506547,0.6408952842767818,0.22516883947115368,0.415726444470223
